companyName,company_reviews,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Google,4.5,"Software Engineering Intern, 2023",Singapore,"
Currently pursuing a Bachelor's, Master's or PhD degree in Computer Science, or a related technical field.
 Experience with coding in C, C++, Java, JavaScript, Python, or another relevant programming language. Experience working in Unix/Linux environments. Experience with data structures, algorithms, and software design. 
Ability to work on projects related to mobile development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development. Ability to showcase tech projects and participate in computer science-related extracurricular activities. Specific responsibilities vary by project area.
",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_85c488a9&cb=1661965329827&jobListingId=1008074239906&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-a84f5f671d5b2ac9-
A2000 Solutions Pte Ltd,3.1,Software Engineer,Singapore,"Design, develop and deploy business software applications (ASP.NET/C#) Systems analysis and integration of multi-solutions with our ERP suite Developing systems; complying with specifications and quality Develop, optimize and enhance in-house ERP system Degree in Computer-related field and/or 4 years equivalent work experience Experience in software application design and development Good knowledge in ERP/Business applications will be advantageous Good knowledge in architecture and system designs Good object-oriented system design skills; knowledge in UML tool Good presentation/communication skills in English Strong customer service orientation with attention to details",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_ecdcb508&cb=1661965329829&jobListingId=1008105835758&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-2de1436cc1d7d1dc-
Gigacover Philippines Inc,NA,Software Developer / Software Engineer (Remote),Singapore,"Python Golang ReactJS NextJS Postgres / MongoDB Maintaining a deep understanding of Gigacover’s business regionally Developing specific client and supplier API integrations Building and maintaining TechOps tools to optimize operations with automation Coordination and communication with product managers and the core engineering team. Developing and maintaining our data pipelines, which includes collections, storage, cleaning, joining and visualization of data, across both Singapore and Indonesia (and any additional future countries) Working with big data technologies to manage our data growth. Developing and maintaining reporting scripts and tables as part of visualization requirements for business growth and reporting. Working with machine learning consultants and supporting machine learning projects from an engineering perspective. Any other reasonable responsibilities relating to data engineering and machine learning. Have a Bachelor’s degree in Computer Science or similar discipline At least 2 - 3 years experience in Software Engineer Python Unix Postgres (or other SQL based database) Javascript Be able to appreciate business logic and user experience You will work closely with Gigacover Philippines engineering and product team Create real impact with your code and architecture Competitive base salary, bonuses and equity. Work from home set-up, with option to use the Gigacover Office in Makati",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_8e324663&cb=1661965329825&jobListingId=1008102865113&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-c252ede1de619b74-
Adstify Search Pte Ltd,4.6,Software Engineer,Singapore,"Develop and deploy software systems that iteratively deliver business value across both back-end and front-end Derive and implement non-functional requirements based on interactions with the product and business elements Establish best practices for developing processes, technologies, coding practices and architectures Maintain a DevOps culture and an Agile product development mindset in the technical team Write and maintain unit tests to ensure robustness of the product Debug and fix code based on customer incident reports and on errors found through internal testing Assist in maintaining software infrastructure and ensure optimal availability of products / services Assist in maintaining and upgrading the software architecture as new services are added to ensure ease of long-term development 2-6 years of experience in frontend and backend programming development Experienced in using an Agile methodology / operating with a DevOps culture Strong analytical mindset, attention to details, and critical thinking; entrepreneurial and solution-oriented Strong team player with good communication and leadership skills Experience in software architecture design and software infrastructure is a plus Experience with high scalability SaaS systems built with microservices is a plus Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d8336edb&cb=1661965329827&jobListingId=1008080268269&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-7856c42a646dd273-
Rapsys Technologies,4.7,Software Test Engineer,Singapore,"At least 2 years’ experience in Software Quality Assurance (SQA) test process and methodologies and completed at least one full-cycle software development and deployment project Experience with using test automation tools for CI/CD Experience with performance and load testing Proficient in at least one programming language Good written and verbal communication skills, with ability to communicate technical issues to non-technical persons Define, design and execute software test plans and cases (both manual and automated) to ensure that the software performs reliably and as intended, including under both expected and abnormal conditions. Create test documentation artefacts such as performance test requirements, defect tracking and reporting, performance test plans, cases, scripts and reports. Day shift",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_eff0c3d8&cb=1661965329827&jobListingId=1007986390258&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-abfc2eaaad7c84fc-
SEARCH INDEX PTE. LTD.,5.0,Software Engineer (Entry Level Welcome / MNC),Singapore,"Attractive Bonuses 5-day Work Week Training will be provided 
Responsible for Software Development Life Cycle (SDLC); gather IT project requirements, design & development of software till operations & maintenance stage 
Making sure all project milestones are met/exceeded 
Training of end-users on how to use completed software. 
At least a Diploma in computer science/IT or related certifications 
Great communication & presentation skills. 
Those with more experience will be considered for senior roles. 
Reasons for leaving each past & current employment 
Salary drawn for each past & current employment 
Expected Salary 
Earliest availability date",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=00000182f4da6467b63290e1674682c4&src=GD_JOB_AD&t=SR&vt=w&cs=1_798d0020&cb=1661965329829&jobListingId=1007830690199&jrtk=3-0-1gbqdkp4nklve801-1gbqdkp58gsqm800-a0af051d468805a3-
Namespace Labs,5.0,Software Engineer: Control Plane,Remote,"
Be responsible for designing and implementing key APIs of the Namespace platform (both internal and externally facing). 
Operate across multiple layers of our stack, whether interfacing with the underlying container and virtualization infrastructure or with our frontends. 
Collaborate closely with product and engineering across the company. 
Directly contribute to the product roadmap, together with the rest of the team, and be empowered to drive key product and technical design decisions. 
Previously worked with Go, and/or in other distributed control planes (e.g. Kubernetes control plane, Kubernetes controllers, Envoy, etc). 
Have experience with load balancing, ingress and egress network policies, HTTP and/or gRPC. 
Have set up and operated logging aggregation and metrics across multiple services. 
Ponder what the right verbs and nouns that an API should make use of are. 
Are energized about the idea of jumping into different machines and containers to debug a hard-to-understand pattern or bug. 
You can concisely describe your ideas in written form, and quickly put together proofs of concept. 
Excel in a work environment that is mostly asynchronous (writing, messaging, videos). 
Have a passion for infrastructure, and keep yourself up to date with advances in the industry. 
Thrive in ambiguity and can charter your own path. 
You’re energized to learn and apply new technologies and skills. 
Feel a sense of responsibility to bring the most value possible to users. 
Industry-competitive salary (we’re happy to share the details with you early on). 
Equity package with friendly terms intended to become life-changing for early team members. 
Fully remote with flexible hours wherever you call home, although we ask that your workday overlaps at least four hours with CET. Equipment budget for your home office. 
25 days PTO, health benefits, and pension account with full employer match. 
We pride ourselves in being a small team that can achieve beyond what’s usually expected for our numbers. 
We balance our long-term vision with short-term pragmatism. 
We believe in being fully transparent internally on how decisions are made, on how the company is doing, and we use that information to drive our decisions.",https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_f1786fae&cb=1661965419088&jobListingId=1008089399519&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-7e569212c7bc8de7-
INTENSECOMP PTE. LTD.,NA,Software Engineer,Remote,Dental insurance Flexible schedule Professional development Work from home Monday to Friday 13th month salary Performance bonus Yearly bonus Software Programming: 1 year (Preferred) 50% (Required),https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_360235c5&cb=1661965419088&jobListingId=1008010242891&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-cd8a37fc96a1abe9-
STACS,4.1,Backend Software Engineer Intern,Singapore,"Full software development lifecycle from translating requirements into technical specifications, implementing software code, checking in code for peer review and troubleshooting Designing and implementing Java code for a modern cloud-based environment using Object Oriented Programming principles Implement and interface with REST APIs with Java Design and interface with relational databases such as MySQL and noSQL databases such as DynamoDB Requirements
Basic coding knowledge, in any language (Javascript, Java)
Basic understanding of code version control systems such as Git
Prior experience with relational databases (e.g. MySQL)
Strong understanding of work with AWS or other cloud providers (experience is a plus) What You Will Need to Thrive
Values teamwork above all
Natural curiosity to learn
Loves to work with code
Intrinsically motivated personality
High adaptability and strong problem-solving skills
Customer focused mindset
Self-starter who thrives on complexity and independence",https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_7f2a81d1&cb=1661965419089&jobListingId=1007616847797&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-4ac426dc9efd6360-
Titansoft Pte Ltd,4.2,Software Developer,Singapore,"Apply your expertise on our web applications using C#, ASP.NET and SQL Integrate awesome web applications with database or API-driven back-ends Design incredible templates for users' ease of use Enjoy solving problems with your team before they even turn into one Challenge ideas and spawn something revolutionary Work in a dynamic, collaborative and non-hierarchical team to break new grounds 0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome! Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code Passionate about life and how to make it better through technology Continuously seek improvements in our products, processes and people Constantly honing programming techniques and developing new skills 18 days of rest and relaxation for each year (P.S. It gets even better over the years!) Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!) Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night) Comprehensive insurance coverage Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope) Communities of Practice and Workshops catered for your growth and learning Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.) Hardcore work and hardcore fun! Cell phone reimbursement Flexible schedule Health insurance Parental leave Professional development Work from home Flexible hours Monday to Friday 13th month salary Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd936cd3&cb=1661965419088&jobListingId=1007839709621&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-cc714a31954238ee-
Adstify Search Pte Ltd,4.6,Software Test Engineer,Singapore,"Develop, document and maintain functional and non-functional test cases Execute and evaluate manual or automated test cases to locate bugs and regressions and ensure product quality is of a high standard Perform API interface testing and API automation testing Reviewing functional and design specifications to ensure full understanding of individual deliverables Ensure that validated deliverables meet functional and design specifications and requirements Intermediate level of professional experience within the QA field Good level of understanding of the software development life cycle and lean/agile QA methodologies Hands-on experience in test automation and scripting languages using selenium (API automation experience is a huge plus!) Good level of understanding of QA process, Test planning, Test case generation and Defect management(JIRA) A solid understanding of how REST APIs and the Browser DOM work, and the ability to debug errors using tools such as Postman and your favorite browsers developer tools A good level of English (written and verbal) communication and presentation skills, with demonstrated ability to work with all levels of the organization Enjoy working in a group and collaborate with cross-functional teams to get things done A critical thinker, an innovator, creative and has good problem-solving skills Is comfortable in an Agile environment with rapid application development Enjoys the fast-paced and collaborative nature of a lean and agile startup Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b3fd0ded&cb=1661965419087&jobListingId=1008080295103&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-fd09aa4d2f52b7ff-
Optiver,4.1,Graduate Software Engineer,Singapore,"Read Brenda's story on delivering low-latency, high-throughput systems that improve our connectivity to the financial market. Read Richard's story on navigating the world of automated trading – systems that make trading decisions. Read Marcus's story on working in the risk and treasury team, where he monitors systems that manage and mitigate risk (e.g., trading risk). Read Aidan's story on working in the Compliance IT team, where he manages systems that facilitate reporting and reconciliation. Read Lena's story on production engineering, where she builds tools and systems that enable us to trade smoothly. Keen to create high-performance, low latency designs that critically impact trading success Curious to learn and comfortable discussing/exploring complex technical ideas Have a range of out-of-classroom projects or extra-curricular activities that demonstrates your passion in technology, particularly software development Keen to work alongside the best Developers and Traders in the industry, with the humility to continually upskill and improve yourself Knowledgeable about object orientated design and development concepts (experience with C++, C# or Java is required for our technical assessment) The chance to work alongside diverse, intelligent and driven peers in a rewarding environment We offer competitive remuneration, including: an attractive bonus structure and additional leave entitlements Corporate health insurance Training, mentorship and personal development opportunities Weekly in-house chair massages Daily breakfast and lunch Regular social events including an annual company trip A work-from-home allowance and support. A final year university student or recent graduate Studying a Computer Science, Software/Electrical/Mechatronic Engineering or similarly technical degree",https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_a82c80be&cb=1661965419087&jobListingId=1008105206948&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-f7bc5eeb46631208-
Goldman Sachs,4.0,Software Engineer,Singapore,"Software Development Life Cycle (SDLC) is a suite of products that provides build and deploy tooling for Engineers in the firm. It provides a modern, secure and highly available plant that facilitates source control, code review, build, test and production activation.
 Distributed Scheduling (Runtime) offers scalable, highly available and efficient platforms and services for job scheduling, grid computing, Compute-as-a-Service, file transfer and software distribution across the firm.
 Build / Development
GitLab - The firm's strategic vendor CI/CD platform, hosted in-house with instances on-prem and on public cloud.
Proprietary SDLC, based on Subversion for source control to facilitate workflow and approvals around building and deploying software.
In-house developed Configuration Database (CD) tools for deploying Software packages, config and Infrastructure as Code.
SecDb ecosystem - Proprietary securities language used in SecDb, Java / Scala monorepo that integrates with Slang and SecDb, CI/CD platform for the C++ / Java of SecDb and non-SecDb teams.
 GitLab - The firm's strategic vendor CI/CD platform, hosted in-house with instances on-prem and on public cloud.
 Proprietary SDLC, based on Subversion for source control to facilitate workflow and approvals around building and deploying software.
 In-house developed Configuration Database (CD) tools for deploying Software packages, config and Infrastructure as Code.
 SecDb ecosystem - Proprietary securities language used in SecDb, Java / Scala monorepo that integrates with Slang and SecDb, CI/CD platform for the C++ / Java of SecDb and non-SecDb teams.
 Testing - A high scale parallel testing environment for executing millions of automated tests daily.
 Distribution - Linux and Windows software distribution system used by Gitlab, Conductor Software Factory and Train.
 Artifact Repository - Primary build artifact repository hosting terabytes of internal and external software packages and industry standard asset repos such as Mavern Central, NPMScopes and PyPi, running on Sonatype Nexus.
 Job / Task Scheduling - Large scale, multi-tenant cross platform distributed computing system running batch workflows.
 Grid Compute - Grid compute for Slang and JSI workloads, used for risk and pricing calculations.
 Stateless Compute - Cluster manager that interfaces with Job Schedulers to schedule stateless jobs on shared pool of managed compute.
 File Transfer - Managed file transfer with external clients.
 Cloud native architectures in AWS
 Experience with large scale monorepos, build systems and deployment paradigms
 Expertise in commercial / open source build systems (Gradle / Bazel / Make) and strong knowledge of software change management systems
 Experience of DevOps, SRE, infrastructure (storage / networks / etc.)
 Design and implement mid to large scale distributed systems
 Partner with and provide technical guidance on best practices to the GS engineering community, the business teams, and operations teams
 3+ years of industry experience.
 General knowledge of multiple languages, and in-depth strong programming skills of at least one of: Golang, Erlang, Java, Python, C, C++, Java.
 Strong software engineering fundamentals.
 Experience with all stages in the lifecycle of developing and running large distributed systems.
 Experience managing performance, availability and scale of mid- to large-sized systems.
 Passionate about the software development process and facilitating high frequency / high quality change across a vibrant and diverse user community.
 Team player, eager to work in a global organization.
 Strong oral and written communication skills.
 BSc / MSc / PhD in relevant field (Computer Science, Maths, Physics).
 Highly knowledgeable about running key business applications on Linux platforms and Linux internals.
 Knowledgeable about networking (TCP, UDP, ICMP, ARP, DNS, TLS, HTTP, SSH, etc).
 Experience with Cloud and Infrastructure as Code technologies - AWS, Terraform, Docker, Kubernetes, etc.",https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_8c3989ba&cb=1661965419089&jobListingId=1008105703983&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-9628948a13e04c50-
Dell Technologies,4.3,Software Engineer (Fresh Grads),Singapore,"
Design, Develop, Deploy and Maintain software solutions that contribute to the next generation Edge Technology 
Develop distributed, scalable and real-time low-latency solutions in an agile delivery method 
Apply your knowledge of Computer Science Engineering to solve real world software engineering problems 
Currently enrolled/completed – Bachelor’s or Master’s degree in Computer Science or related field 
Proficiency in one or more of the programming languages Golang, Python, C++ and Java 
Good understanding of Data Structures and Algorithms 
Excellent analytical and problem-solving skills 
Domain knowledge in one or more areas – IoT / Edge Computing / Linux Kernel / Firmware 
Experience working in Unix/Linux environments",https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_4d6571dc&cb=1661965419086&jobListingId=1008096208951&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-95c469bc47ac8781-
Google,4.5,"Software Engineering Intern, 2023",Singapore,"
Currently pursuing a Bachelor's, Master's or PhD degree in Computer Science, or a related technical field.
 Experience with coding in C, C++, Java, JavaScript, Python, or another relevant programming language. Experience working in Unix/Linux environments. Experience with data structures, algorithms, and software design. 
Ability to work on projects related to mobile development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development. Ability to showcase tech projects and participate in computer science-related extracurricular activities. Specific responsibilities vary by project area.
",https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_ec6802c7&cb=1661965419088&jobListingId=1008074239906&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-a84f5f671d5b2ac9-
Indeed,4.4,Staff Software Engineer (multiple roles),Singapore,"
Improve our current products to better match job seekers and employers in specific high priority and strategic markets 
Architect new solutions and validate new ideas by either building on top of existing solutions or by prototyping new products 
Identify system architecture and product design improvements to better support feature development and integration with new products for job seekers in all international markets 
Mentor engineers and provide feedback on software architecture designs and implementations of new products and features. 
Strong sense of ownership in everything they build, able to build new products from scratch quickly 
Comfortable working in other teams’ code bases 
BS in Computer Science or related area, or relevant work experience 
7+ years of experience in software development 
Experience building scalable, distributed, highly-available systems 
Knowledge of Java, React, Spring Framework, Protobuf, REST, gRPC, GraphQL and JSON 
Experience in building Machine Learning pipelines desired",https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_d1ced647&cb=1661965419085&jobListingId=1007285082715&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-d2f785ec70a7f6aa-
Gigacover Philippines Inc,NA,Software Developer / Software Engineer (Remote),Singapore,"Python Golang ReactJS NextJS Postgres / MongoDB Maintaining a deep understanding of Gigacover’s business regionally Developing specific client and supplier API integrations Building and maintaining TechOps tools to optimize operations with automation Coordination and communication with product managers and the core engineering team. Developing and maintaining our data pipelines, which includes collections, storage, cleaning, joining and visualization of data, across both Singapore and Indonesia (and any additional future countries) Working with big data technologies to manage our data growth. Developing and maintaining reporting scripts and tables as part of visualization requirements for business growth and reporting. Working with machine learning consultants and supporting machine learning projects from an engineering perspective. Any other reasonable responsibilities relating to data engineering and machine learning. Have a Bachelor’s degree in Computer Science or similar discipline At least 2 - 3 years experience in Software Engineer Python Unix Postgres (or other SQL based database) Javascript Be able to appreciate business logic and user experience You will work closely with Gigacover Philippines engineering and product team Create real impact with your code and architecture Competitive base salary, bonuses and equity. Work from home set-up, with option to use the Gigacover Office in Makati",https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_ff4c7751&cb=1661965419087&jobListingId=1008102865113&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-c252ede1de619b74-
"JPMorgan Chase Bank, N.A.",3.8,"Software Engineer, Associate",Singapore,"You'll be developing cloud native products to be used by engineers across the firm.
 You'll be developing products that help test and measure the resiliency and availability of products and services.
 You'll be developing products that help solve the problems associated with micro services orchestration.
 You'll be part of a small and highly focused product team which is responsible for developing and running the product end to end.
 You'll contribute in making architecture decisions and make suggestions to improve the current architecture of the product.
 Bachelor's degree or equivalent
 Minimum 2 years of experience required
 Passionate about new technologies and building a culture of innovation, continuous learning and improvement.
 Proficiency in one or more modern programming languages. Java, python or Go is preferred.
 Exposure to building frameworks and tooling for large scale engineering operations, resiliency patterns like circuit breakers, bulkheads, backpressure, etc.
 Exposure to authentication and authorization protocols and solutions.
 Experience developing cloud native applications on platforms like CloudFoundry, Kubernetes, Heroku, AWS, GCP, Azure, etc.
 Exposure to effective operational patterns like SLOs, metrics, health checks, error budgets, distributed tracing, etc.
",https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_f7c001df&cb=1661965419087&jobListingId=1008097866366&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-613be739d393317a-
Indeed,4.4,Senior Software Engineer (multiple roles),Singapore,"
BS in Computer Science or equivalent practical experience 
4+ years experience in software development 
Demonstrated ability to operate as a high-performing member of a small, cross-functional team 
Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences 
Knowledge of Java, React, Spring Framework, Protobuf, ReST, GraphQL and JSON.",https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&cs=1_96c4ce26&cb=1661965419085&jobListingId=1007459554265&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-049df81e92176559-
Rapsys Technologies,4.7,Software Test Engineer,Singapore,"At least 2 years’ experience in Software Quality Assurance (SQA) test process and methodologies and completed at least one full-cycle software development and deployment project Experience with using test automation tools for CI/CD Experience with performance and load testing Proficient in at least one programming language Good written and verbal communication skills, with ability to communicate technical issues to non-technical persons Define, design and execute software test plans and cases (both manual and automated) to ensure that the software performs reliably and as intended, including under both expected and abnormal conditions. Create test documentation artefacts such as performance test requirements, defect tracking and reporting, performance test plans, cases, scripts and reports. Day shift",https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_84d7132c&cb=1661965419087&jobListingId=1007986390258&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-abfc2eaaad7c84fc-
ParaDM Pte Ltd,NA,Software Engineer,Outram Park,Cell phone reimbursement Flexible schedule Work from home Monday to Friday 13th month salary Local Polytechnic Diploma (Preferred) Software development: 3 years (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_38c62e4b&cb=1661965419088&jobListingId=1008067745277&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-14cf188ed8c7ebe8-
AC P. COMPUTER TRAINING & CONSULTANCY PTE LTD,4.0,Software Quality Engineer (GovTech 070722),Singapore,"Create and maintain test cases, test plans ensuring that they are up to date withrequirements and policy changes Create, maintain and improve the automated test framework and test environments Conduct testing on new features and file defects Participate in all agile ceremonies Degree in software engineering, computer engineering, electrical engineering orinfocomm-related discipline. At least three years of professional software quality testing experience with hands-onautomation Strong understanding of testing techniques Strong understanding of test-driven development, continuous integration and continuousdelivery Experience with various testing tools will be an added advantage: Experience with open source automated testing frameworks ( i.e. Robot, Appium, Selenium ) or Enterprise level testing tools (e.g. HP Mobile Center, HP UFT, HP QC, Sprinter) Experience with open source performance testing tools ( i.e. JMeter, Gatling, Locust) or enterprise level testing tools (HP LoadRunner) Experience with open source penetration testing tools (ZAP, Burp Suite, SQL Map) orenterprise level penetration testing tools (HP WebInspect, Nessus, CheckMarx) Working experience in Agile environment will be an added advantage Excellent verbal communication and listening skills Proactive, self-driven and motivated Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c8fcefeb&cb=1661965419088&jobListingId=1008104569884&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-918e879305f94524-
HASHSTACS PTE. LTD.,4.1,Frontend Software Engineer (Remote),Singapore,B.S. or M.S. in Computer Science or equivalent degree or experience UX Design experience Relevant work experience with React.js and web applications Experience with 1 or more cloud platforms (AWS is a plus) Parental leave Work from home Monday to Friday Performance bonus Bachelor's or equivalent (Preferred) software engineering: 2 years (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=00000182f4dbc0ecb4dbf51682279f25&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_84db9148&cb=1661965419087&jobListingId=1008087213212&jrtk=3-0-1gbqdng8fjrq4801-1gbqdng92kcnn800-7f7e409536cdbc5b-
